date,all,nonregular,regular,week_start,week_end,direction
2021-06-17T09:00:00,30,24,,2021-06-14,2021-06-20,inward
2021-06-17T10:00:00,26,22,,2021-06-14,2021-06-20,inward
2021-06-17T11:00:00,43,35,,2021-06-14,2021-06-20,inward
2021-06-17T12:00:00,39,28,,2021-06-14,2021-06-20,inward
2021-06-17T13:00:00,33,26,,2021-06-14,2021-06-20,inward
2021-06-17T14:00:00,37,32,,2021-06-14,2021-06-20,inward
2021-06-17T15:00:00,40,32,,2021-06-14,2021-06-20,inward
2021-06-17T16:00:00,41,33,,2021-06-14,2021-06-20,inward
2021-06-17T17:00:00,44,33,,2021-06-14,2021-06-20,inward
2021-06-17T18:00:00,57,44,,2021-06-14,2021-06-20,inward
2021-06-17T19:00:00,31,25,,2021-06-14,2021-06-20,inward
2021-06-17T20:00:00,25,21,,2021-06-14,2021-06-20,inward
2021-06-17T21:00:00,25,25,,2021-06-14,2021-06-20,inward
2021-06-17T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-17T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T08:00:00,43,39,,2021-06-14,2021-06-20,inward
2021-06-18T09:00:00,55,47,,2021-06-14,2021-06-20,inward
2021-06-18T10:00:00,27,25,,2021-06-14,2021-06-20,inward
2021-06-18T11:00:00,37,35,,2021-06-14,2021-06-20,inward
2021-06-18T12:00:00,44,32,,2021-06-14,2021-06-20,inward
2021-06-18T13:00:00,41,34,,2021-06-14,2021-06-20,inward
2021-06-18T14:00:00,40,40,,2021-06-14,2021-06-20,inward
2021-06-18T15:00:00,24,21,,2021-06-14,2021-06-20,inward
2021-06-18T16:00:00,39,33,,2021-06-14,2021-06-20,inward
2021-06-18T17:00:00,47,33,,2021-06-14,2021-06-20,inward
2021-06-18T18:00:00,34,26,,2021-06-14,2021-06-20,inward
2021-06-18T19:00:00,30,25,,2021-06-14,2021-06-20,inward
2021-06-18T20:00:00,41,39,,2021-06-14,2021-06-20,inward
2021-06-18T21:00:00,27,27,,2021-06-14,2021-06-20,inward
2021-06-18T22:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-18T23:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T04:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T05:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T06:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T07:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T08:00:00,25,23,,2021-06-14,2021-06-20,inward
2021-06-19T09:00:00,27,25,,2021-06-14,2021-06-20,inward
2021-06-19T10:00:00,42,40,,2021-06-14,2021-06-20,inward
2021-06-19T11:00:00,37,37,,2021-06-14,2021-06-20,inward
2021-06-19T12:00:00,38,34,,2021-06-14,2021-06-20,inward
2021-06-19T13:00:00,57,51,,2021-06-14,2021-06-20,inward
2021-06-19T14:00:00,39,36,,2021-06-14,2021-06-20,inward
2021-06-19T15:00:00,31,28,,2021-06-14,2021-06-20,inward
2021-06-19T16:00:00,37,35,,2021-06-14,2021-06-20,inward
2021-06-19T17:00:00,29,29,,2021-06-14,2021-06-20,inward
2021-06-19T18:00:00,26,24,,2021-06-14,2021-06-20,inward
2021-06-19T19:00:00,32,32,,2021-06-14,2021-06-20,inward
2021-06-19T20:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-19T21:00:00,25,23,,2021-06-14,2021-06-20,inward
2021-06-19T22:00:00,34,32,,2021-06-14,2021-06-20,inward
2021-06-19T23:00:00,22,22,,2021-06-14,2021-06-20,inward
2021-06-20T00:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T01:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T02:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T03:00:00,,,,2021-06-14,2021-06-20,inward
2021-06-20T04:00:00,,,,2021-06-14,2021-06-20,inward
