id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,address,_geom,EGID,price_per_sqm,cat,fill,fillOpacity,color,weight,opacity,radius
3001237053,152801.01.00402,rent,2021-09-30T14:31:08,,4,530,,,,28,1962,Vonwilstr. 15,St. Gallen,9000,"Vonwilstr. 15, 9000 St. Gallen",POINT (9.35889720916748 47.417083740234375),10701670,18.928571428571427,d,,0.8,#ffffff,1.5,0.9,65
3001209766,050-07.07.830758.b9c75053-b227-11eb-820b-005056bdbc06,rent,2021-09-30T14:31:08,,4,1850,,,,101,2000,Oberer Graben 37,St. Gallen,9000,"Oberer Graben 37, 9000 St. Gallen",POINT (9.374848365783691 47.4225959777832),23636930,18.316831683168317,d,,0.8,#ffffff,1.5,0.9,65
3001356440,Z213WHG4OG,rent,2021-09-30T14:31:08,,4,390,,,,45,,Zürcherstr. 213,St. Gallen,9000,"Zürcherstr. 213, 9000 St. Gallen",,,8.666666666666666,a,,0.8,#ffffff,1.5,0.9,65
3001208734,040-05.07.857503.0691d98a-e607-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:08,,2,1600,,,,90,1977,Schorenstrasse 74,St. Gallen,9000,"Schorenstrasse 74, 9000 St. Gallen",POINT (9.365180015563965 47.427799224853516),10708890,17.77777777777778,c,,0.8,#ffffff,1.5,0.9,65
3001334101,1ik89.wbz1b,rent,2021-09-30T14:31:08,,1,2045,195,1850,,98,2016,Rappensteinstrasse 23,St. Gallen,9000,"Rappensteinstrasse 23, 9000 St. Gallen",POINT (9.399984359741211 47.431297302246094),10758601,20.867346938775512,d,,0.8,#ffffff,1.5,0.9,65
3001303010,2060-3011.872880.7c513451-0718-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:08,,1,1630,,,,122,,Dietlistrasse 6,St. Gallen,9000,"Dietlistrasse 6, 9000 St. Gallen",POINT (9.358914375305176 47.42341995239258),10706370,13.360655737704919,b,,0.8,#ffffff,1.5,0.9,65
3001279823,45792169,rent,2021-09-30T14:31:08,,,1490,,,,80,,Solitüdenstrasse 1,St. Gallen,9012,"Solitüdenstrasse 1, 9012 St. Gallen",POINT (9.364049911499023 47.41261672973633),10714660,18.625,d,,0.8,#ffffff,1.5,0.9,65
3000888275,ZX429008,rent,2021-09-30T14:31:09,,2,1240,,,,71,,Langgasse 70,St. Gallen,9008,"Langgasse 70, 9008 St. Gallen",POINT (9.390488624572754 47.438804626464844),10749450,17.464788732394368,c,,0.8,#ffffff,1.5,0.9,65
3001166252,1026.1.1005,rent,2021-09-30T14:31:09,,GF,1590,210,1380,,82,1965,Obere Berneggstrasse 79,St. Gallen,9012,"Obere Berneggstrasse 79, 9012 St. Gallen",POINT (9.366862297058105 47.41283416748047),10715370,19.390243902439025,d,,0.8,#ffffff,1.5,0.9,65
3001079915,572c3.yfjkq,rent,2021-09-30T14:31:09,,GF,1390,200,1190,,41,1910,Kräzernstrasse 30,St. Gallen,9015,"Kräzernstrasse 30, 9015 St. Gallen",POINT (9.32085132598877 47.406742095947266),10687630,33.90243902439025,f,,0.8,#ffffff,1.5,0.9,65
3001279734,TG1811.TG1811.TG1811,rent,2021-09-30T14:31:09,,4,1040,,,,97,,Kräzernstrasse 10,St. Gallen,9014,"Kräzernstrasse 10, 9014 St. Gallen",POINT (9.324960708618164 47.4073371887207),10689440,10.721649484536082,b,,0.8,#ffffff,1.5,0.9,65
