id,object_ref,category,date,type,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,address,_geom,EGID
3001253399,10263.02.0102,rent,2021-09-30T14:31:09,,1,960,,,,53,1962,Burenbüchelstrasse 18a,St. Gallen,9016,"Burenbüchelstrasse 18a, 9016 St. Gallen",POINT (9.411065101623535 47.435768127441406),1076640_0
3001253435,901601.1.20071061,rent,2021-09-30T14:31:09,,6,1070,,,,,1966,Rehetobelstrasse 71,St. Gallen,9016,"Rehetobelstrasse 71, 9016 St. Gallen",POINT (9.411824226379395 47.433292388916016),1076688_0
3001208239,857415.66bc47ff-e588-11eb-9c8e-005056bdbc06,rent,2021-09-30T14:31:09,,3,990,,,,,,Martinsbruggstrasse 45,St. Gallen,9016,"Martinsbruggstrasse 45, 9016 St. Gallen",POINT (9.412217140197754 47.436580657958984),1076673_0
3001305225,16482.01.0001,rent,2021-09-30T14:31:09,,GF,650,,,,30,1966,Hafnerstrasse 8,St. Gallen,9000,"Hafnerstrasse 8, 9000 St. Gallen",POINT (9.380929946899414 47.42387771606445),1073498_0
3001315465,1058.1103.874762.76b09ad5-0b1b-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:09,,1,750,95,655,,,1973,Rorschacherstrasse 50a,St. Gallen,9000,"Rorschacherstrasse 50a, 9000 St. Gallen",,
3001368780,1065.1101.885193.f228ff36-1c31-11ec-8c59-005056bdbc06,rent,2021-09-30T14:31:09,,1,1130,180,950,,,,Martinsbruggstrasse 59,St. Gallen,9016,"Martinsbruggstrasse 59, 9016 St. Gallen",POINT (9.414032936096191 47.43673324584961),1076677_0
3001246726,863663.a0e4315f-f45a-11eb-83fa-005056bdbc06,rent,2021-09-30T14:31:09,,2,1170,180,990,,50,,Achslenweg 8,St. Gallen,9016,"Achslenweg 8, 9016 St. Gallen",POINT (9.409761428833008 47.4349250793457),1076626_0
3001327102,3935.3001,rent,2021-09-30T14:31:09,,GF,1050,,,,,1920,Kolumbanstrasse 36,St. Gallen,9008,"Kolumbanstrasse 36, 9008 St. Gallen",POINT (9.391860961914062 47.43812942504883),1074968_0
3001172304,f70d4e6b-75f1-11eb-9a3b-005056bdbc06,rent,2021-09-30T14:31:09,,2,1050,,,,68,,Lukasstrasse 3,St. Gallen,9008,"Lukasstrasse 3, 9008 St. Gallen",POINT (9.395277976989746 47.439857482910156),1075132_0
3001252594,5690.13.2005,rent,2021-09-30T14:31:09,,2,1160,,,,58,2003,Haggenstr. 56,St. Gallen,9014,"Haggenstr. 56, 9014 St. Gallen",POINT (9.33734130859375 47.406227111816406),190209198_0
