id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc
3001347479,162.121b.25im3ogg,rent,2021-10-12 19:38:37,,3,960,,,,,,Teufenerstr. 121 b,St. Gallen,9000.0,,,POINT(9.36393410284266 47.4135531456015),,,,,,,,,,,,,,,,
3001354992,47460695,rent,2021-10-12 23:28:15,,,3600,,,,40.0,,Rorschacherstrasse,St. Gallen,9000.0,,,POINT(9.37906581129918 47.4265164136986),1072808.0,0.6,1072808.0,False,63.0,56.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,207.0,Centrum,St.Jakob,St.Jakob
3001361663,27511.02.0201,rent,2021-10-12 20:46:59,,2,1220,,,,62.0,2022.0,Ahornstrasse 23a,St. Gallen,9000.0,47.4143943786621,9.34685325622559,POINT (9.346853256225586 47.41439437866211),191823738.0,0.0,191823738.0,False,,,,,,,,True,112.0,Westen,Bruggen,Moos-Waldacker-Lerchenfeld
3001364273,164,rent,2021-10-13 09:12:32,,3,1350,,,,,,Zürcher Strasse 70,St. Gallen,9000.0,47.4174957275391,9.35018253326416,POINT (9.35018253326416 47.41749572753906),1070320.0,,1070320.0,False,68.0,60.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,113.0,Westen,Lachen,Vonwil-Lachen-Schoren
3001364371,010001.883996.738dd6d5-1ae5-11ec-8c59-005056bdbc06,rent,2021-10-13 07:22:00,,GF,1100,,,,60.0,,Steingrüeblistrasse 44,St. Gallen,9000.0,47.4266510009766,9.39069271087646,POINT (9.390692710876465 47.42665100097656),1073692.0,0.0,1073692.0,False,,,,,,,,True,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3001364396,100005.884000.41d1a78b-1ae7-11ec-8c59-005056bdbc06,rent,2021-10-13 07:22:01,,2,1110,,,,60.0,,Steingrüeblistrasse 44,St. Gallen,9000.0,47.4266510009766,9.39069271087646,POINT (9.390692710876465 47.42665100097656),1073692.0,0.0,1073692.0,False,,,,,,,,True,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3001364411,010007.884002.7ff4f53a-1ae7-11ec-8c59-005056bdbc06,rent,2021-10-13 09:12:42,,3,1290,160.0,1130.0,,60.0,,Steingrüeblistrasse 44,St. Gallen,9000.0,47.4266510009766,9.39069271087646,POINT (9.390692710876465 47.42665100097656),1073692.0,0.0,1073692.0,False,,,,,,,,True,208.0,Centrum,Linsenbühl-Dreilinden,Linsenbühl-Dreilinden
3001365246,1238408,rent,2021-10-12 19:07:42,,4,1390,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,
3001365255,1238385,rent,2021-10-12 20:14:52,,1,1130,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,
3001365281,53804.02.0402,rent,2021-10-12 20:45:37,,5,890,140.0,750.0,,45.0,1962.0,Berneggstr. 52,St. Gallen,9000.0,47.419017791748,9.37270641326904,POINT (9.372706413269043 47.41901779174805),,,,,,,,,,,,,,,,
