id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy
3001197625,2850.4011,rent,2021-10-13T09:12:44,,1,1300,300,1000,,,1910,Glaserstrasse 3,St. Gallen,9000,47.4189567565918,9.35439014434814,POINT (9.354390144348145 47.4189567565918),1070265,
3001198085,5592-1.goldinger.SM138.1102,rent,2021-10-13T08:18:27,,2,2850,250,2600,,140,,Hinterlauben 10,St. Gallen,9000,47.424747467041,9.37550258636475,POINT (9.375502586364746 47.424747467041016),1072553,0.037037037037037
3001198152,44.53.4501.680424.b1ec94ce-b076-11ea-97df-005056bdbc06,rent,2021-10-12T19:38:42,,4,2390,250,2140,,127,2017,Heiligkreuzstrasse 53,St. Gallen,9008,47.4404067993164,9.3939847946167,POINT (9.3939847946167 47.440406799316406),191521871,0.0
3001198951,00241.01.0010,rent,2021-10-12T20:48:11,,2,1600,280,1320,,101,1957,Vonwilstrasse 51,St. Gallen,9000,47.4194450378418,9.35537147521973,POINT (9.355371475219727 47.4194450378418),1070279,0.0
3001201708,5590.01.0010,rent,2021-10-13T07:19:27,,2,2370,370,2000,,130,1964,Stauffacherstrasse 5,St. Gallen,9000,47.4235572814941,9.36404323577881,POINT (9.364043235778809 47.42355728149414),1071170,0.0317460317460319
3001204679,1059.01.1022,rent,2021-10-12T19:53:37,,2,960,,,,1,,Spyristrasse 9,St. Gallen,9008,47.4368362426758,9.39242649078369,POINT (9.392426490783691 47.43683624267578),1074977,0.981818181818182
3001206092,A9JEV3F_224LV53,rent,2021-10-12T20:45:38,,,849,,,,,,Spisergasse 43,St. Gallen,9000,47.4244956970215,9.37917041778564,POINT (9.379170417785645 47.424495697021484),1072632,
3001206690,3221630,rent,2021-10-13T09:12:41,,1,1290,120,1170,,64,,Treuackerstrasse 25,St. Gallen,9000,47.4154357910156,9.36357879638672,POINT (9.363578796386719 47.415435791015625),1071652,0.0447761194029851
3001207025,10270.77.1014,rent,2021-10-13T09:12:48,,3,1240,250,990,,,,Schönaustrasse 77,St. Gallen,9000,47.4172821044922,9.34814548492432,POINT (9.348145484924316 47.41728210449219),1070489,
3001207296,1055.1113.857263.f73a8b26-e57c-11eb-9c8e-005056bdbc06,rent,2021-10-13T08:21:18,,4,2410,200,2210,,85,,Burgstrasse 51,St. Gallen,9000,47.4180908203125,9.35981178283691,POINT (9.359811782836914 47.4180908203125),190726653,0.214285714285714
