id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy,price_per_sqm,price_per_room,flat_cat,cat,egid,ren_potential,LR_DAY,LR_NIGHT,ES,COMM_USE_D,EXP_LIM_D,EXP_LIM_N,EXP_LIM,noise_below,quartier_nummer,quartier_kreis,quartier_quartiergr,quartier_statistisc
3001522487,03159.01.0133,rent,2021-12-04 16:30:26,,3,3270,,,,140,1920.0,Goliathgasse 37,St. Gallen,9000,47.4279747009277,9.37712287902832,POINT (9.37712287902832 47.427974700927734),1072768,0.272727272727273,23.357142857142858,817.5,M,f,1072768,False,64.0,57.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,206,Centrum,Innenstadt,Altstadt
3001527674,48362664,rent,2021-12-04 16:30:30,,,1600,,,,43,,Brühlbleichestrasse,St. Gallen,9000,47.4301338195801,9.3830680847168,POINT (9.383068084716797 47.43013381958008),1072932,0.306451612903226,37.2093023255814,533.3333333333334,M,d,1072932,False,,,,,,,,True,207,Centrum,St.Jakob,St.Jakob
3001521627,2560.02.2006,rent,2021-12-04 16:30:32,,2,1800,,,,49,2019.0,Ulmenstrasse 9,St.Gallen,9000,47.4201965332031,9.35370349884033,POINT (9.353703498840332 47.420196533203125),191645667,0.125,36.734693877551024,900.0,S,f,191645667,False,,,,,,,,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001526257,932049.a000900000KptfXAAR,rent,2021-12-04 16:51:24,,3,1820,,,,63,1962.0,Gerbeweg 1,St. Gallen,9000,47.4210968017578,9.35379028320312,POINT (9.353790283203125 47.42109680175781),1070400,0.0454545454545454,28.88888888888889,606.6666666666666,M,e,1070400,True,,,,,,,,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001526278,963302.02.00103,rent,2021-12-04 16:51:28,,1,1780,,,,130,1972.0,Schönauweg 9,St. Gallen,9000,47.4179878234863,9.34551239013672,POINT (9.345512390136719 47.41798782348633),1070077,0.238095238095238,13.692307692307692,593.3333333333334,M,d,1070077,True,,,,,,,,True,112,Westen,Bruggen,Moos-Waldacker-Lerchenfeld
3001522279,180,rent,2021-12-04 16:51:32,,GF,1900,,,,63,,Ruhbergstrasse 63,St. Gallen,9000,47.4155731201172,9.36490821838379,POINT (9.364908218383789 47.41557312011719),1071644,0.1,30.158730158730158,380.0,L,c,1071644,False,65.0,57.0,ES III,Wohnen,">PW, ≤IGW",">IGW, <AW",">IGW, <AW",False,203,Centrum,Riethüsli,Riethüsli
3001516934,929532.2ef57ca2-51cb-11ec-842e-005056bdbc06,rent,2021-12-04 16:51:34,,GF,1820,,,,64,,Kapellenstrasse 8,St. Gallen,9000,47.4205474853516,9.373366355896,POINT (9.373366355895996 47.42054748535156),1072210,0.0303030303030303,28.4375,910.0,S,f,1072210,False,,,,,,,,True,204,Centrum,St.Georgen,St.Georgen-Bernegg
3001520364,1033.12.2021.848779.910cc64c-d4b8-11eb-92cc-005056bdbc06,rent,2021-12-04 16:51:36,,3,1820,,,,55,,Helvetiastrasse 51,St. Gallen,9000,47.4341926574707,9.39534091949463,POINT (9.395340919494629 47.4341926574707),1076174,0.195652173913043,33.09090909090909,910.0,S,f,1076174,True,59.0,48.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,303,Osten,St.Fiden,St.Fiden-Krontal
3001517660,919653.a000900000Kn448AAB,rent,2021-12-04 16:26:18,,2,1770,,,,64,,Rosenfeldstrasse 7,St. Gallen,9008,,,POINT(9.3851836993069 47.4339349039222),1074742,0.507692307692308,27.65625,354.0,L,c,1074742,False,57.0,50.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001519728,16735-12.888886.3b0e7b82-210c-11ec-842e-005056bdbc06,rent,2021-12-04 16:25:55,,2,3330,,,,76,2020.0,Sankt Georgen-Strasse 167,St. Gallen,9011,,,POINT(9.39186202596431 47.4146678644583),191690308,0.173913043478261,43.81578947368421,1110.0,M,f,191690308,False,56.0,41.0,ES II,,Keine Nutzung definiert,Keine Nutzung definiert,Keine Nutzung definiert,True,209,Centrum,St.Georgen,St.Georgen-Bach
3001519726,16715-12.892703.1e3f9bb1-22af-11ec-842e-005056bdbc06,rent,2021-12-04 16:25:56,,,1440,,,,40,2020.0,Sankt Georgen-Strasse 167,St. Gallen,9011,,,POINT(9.39186202596431 47.4146678644583),191690308,0.215686274509804,36.0,1440.0,S,f,191690308,False,56.0,41.0,ES II,,Keine Nutzung definiert,Keine Nutzung definiert,Keine Nutzung definiert,True,209,Centrum,St.Georgen,St.Georgen-Bach
3001517394,3371447,rent,2021-12-04 16:28:16,,3,1280,,,,38,,Teufenerstrasse 55,St. Gallen,9000,,,POINT(9.36798685944395 47.4178580121799),1072127,0.472222222222222,33.68421052631579,426.6666666666667,M,c,1072127,True,66.0,58.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,204,Centrum,St.Georgen,St.Georgen-Bernegg
3001522256,178,rent,2021-12-04 16:29:58,,4,1970,,,,71,,Zürcherstrasse 78,St. Gallen,9000,,,POINT(9.34935397192808 47.4172319477786),1070311,0.453846153846154,27.746478873239436,394.0,L,c,1070311,False,68.0,60.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001529339,932049.a000900000KptfXAAR,rent,2021-12-05 12:01:26,,3,1820,,,,63,1962.0,Gerbeweg 1,St. Gallen,9000,47.4210968017578,9.35379028320312,POINT (9.353790283203125 47.42109680175781),1070400,0.0454545454545454,28.88888888888889,606.6666666666666,M,e,1070400,True,,,,,,,,True,113,Westen,Lachen,Vonwil-Lachen-Schoren
3001529261,919653.a000900000Kn448AAB,rent,2021-12-05 12:00:58,,2,1770,,,,64,,Rosenfeldstrasse 7,St. Gallen,9008,,,POINT(9.3851836993069 47.4339349039222),1074742,0.507692307692308,27.65625,354.0,L,c,1074742,False,57.0,50.0,ES III,Wohnen,≤PW,≤PW,≤PW,True,302,Osten,Langgass-Heiligkreuz,Langgass-Heiligkreuz
3001529012,49039708,rent,2021-12-05 12:01:09,,,2330,,,,150,,Zürcherstrasse,St. Gallen,9014,,,POINT(9.32820685473219 47.4077462429218),2364238,0.293103448275862,15.533333333333333,466.0,L,d,2364238,False,66.0,59.0,ES III,Wohnen,">IGW, <AW",">IGW, <AW",">IGW, <AW",False,109,Westen,Bruggen,Bruggen-Zürcherstrasse
