name,score,description,category,label,_geom
BRZCjid5nKOIds3n4Zr0XQ,26.17090827337159,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/BRZCjid5nKOIds3n4Zr0XQ""><img style=""width:200px"" src=""https://images.mapillary.com/BRZCjid5nKOIds3n4Zr0XQ/thumb-320.jpg""></a><br>Streetwise Score: 26.17090827337159",2,0,POINT (9.365831 47.4191733)
tXfG9GLVXIdGN2vqkui52w,34.234209975542875,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/tXfG9GLVXIdGN2vqkui52w""><img style=""width:200px"" src=""https://images.mapillary.com/tXfG9GLVXIdGN2vqkui52w/thumb-320.jpg""></a><br>Streetwise Score: 34.234209975542875",3,+,POINT (9.365706299999999 47.4194021)
FJ9YHM7Ma4Ng-ST5MuA6OQ,33.805451692699066,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/FJ9YHM7Ma4Ng-ST5MuA6OQ""><img style=""width:200px"" src=""https://images.mapillary.com/FJ9YHM7Ma4Ng-ST5MuA6OQ/thumb-320.jpg""></a><br>Streetwise Score: 33.805451692699066",3,+,POINT (9.365573899999999 47.4196106)
AAZE8niXvCAtquUU5rxSZQ,28.872010237210628,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/AAZE8niXvCAtquUU5rxSZQ""><img style=""width:200px"" src=""https://images.mapillary.com/AAZE8niXvCAtquUU5rxSZQ/thumb-320.jpg""></a><br>Streetwise Score: 28.872010237210628",2,0,POINT (9.365523 47.4198583)
1OmHy7qj4UW7_nqtbWdRsA,32.70960969630792,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/1OmHy7qj4UW7_nqtbWdRsA""><img style=""width:200px"" src=""https://images.mapillary.com/1OmHy7qj4UW7_nqtbWdRsA/thumb-320.jpg""></a><br>Streetwise Score: 32.70960969630792",3,+,POINT (9.365677399999999 47.4200727)
7e3R1luv81WLaNNvGn00kA,30.138535422091074,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/7e3R1luv81WLaNNvGn00kA""><img style=""width:200px"" src=""https://images.mapillary.com/7e3R1luv81WLaNNvGn00kA/thumb-320.jpg""></a><br>Streetwise Score: 30.138535422091074",3,+,POINT (9.365916500000001 47.4202687)
sOqlcRPNB5aMuXu8WCbfvA,23.197453234273446,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/sOqlcRPNB5aMuXu8WCbfvA""><img style=""width:200px"" src=""https://images.mapillary.com/sOqlcRPNB5aMuXu8WCbfvA/thumb-320.jpg""></a><br>Streetwise Score: 23.197453234273446",2,0,POINT (9.3661201 47.4204328)
CdVO7ZAn4BMAUaB-8WWa3g,36.333699045110755,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/CdVO7ZAn4BMAUaB-8WWa3g""><img style=""width:200px"" src=""https://images.mapillary.com/CdVO7ZAn4BMAUaB-8WWa3g/thumb-320.jpg""></a><br>Streetwise Score: 36.333699045110755",3,+,POINT (9.366372800000001 47.4206152)
DFRZmBtkzdI9uZcaG5jQSg,33.77513319792532,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/DFRZmBtkzdI9uZcaG5jQSg""><img style=""width:200px"" src=""https://images.mapillary.com/DFRZmBtkzdI9uZcaG5jQSg/thumb-320.jpg""></a><br>Streetwise Score: 33.77513319792532",3,+,POINT (9.3666298 47.4207981)
TyawVFem012qEakqzPZ86A,33.50407459247217,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/TyawVFem012qEakqzPZ86A""><img style=""width:200px"" src=""https://images.mapillary.com/TyawVFem012qEakqzPZ86A/thumb-320.jpg""></a><br>Streetwise Score: 33.50407459247217",3,+,POINT (9.3668467 47.4209818)
3TVIQ0UTZxCK0KcPEx7iiQ,39.06619860403664,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/3TVIQ0UTZxCK0KcPEx7iiQ""><img style=""width:200px"" src=""https://images.mapillary.com/3TVIQ0UTZxCK0KcPEx7iiQ/thumb-320.jpg""></a><br>Streetwise Score: 39.06619860403664",0,wahrgenommene Sicherheit tief,POINT (9.3671291 47.4211925)
uuatbPIwuKAOxugnKG_dJQ,21.331069789592867,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/uuatbPIwuKAOxugnKG_dJQ""><img style=""width:200px"" src=""https://images.mapillary.com/uuatbPIwuKAOxugnKG_dJQ/thumb-320.jpg""></a><br>Streetwise Score: 21.331069789592867",2,0,POINT (9.367521099999999 47.4213887)
VYG17TDP5ct8oyvqMNreUQ,28.791098979911972,"<a target=""_blank"" href=""https://www.mapillary.com/map/im/VYG17TDP5ct8oyvqMNreUQ""><img style=""width:200px"" src=""https://images.mapillary.com/VYG17TDP5ct8oyvqMNreUQ/thumb-320.jpg""></a><br>Streetwise Score: 28.791098979911972",2,0,POINT (9.367905 47.4215788)
